host_time,n_chest_acc_x,n_chest_acc_y,n_chest_acc_z,n_chest_gyro_x,n_chest_gyro_y,n_chest_gyro_z,n_left_knee_acc_x,n_left_knee_acc_y,n_left_knee_acc_z,n_left_knee_gyro_x,n_left_knee_gyro_y,n_left_knee_gyro_z,n_right_hand_acc_x,n_right_hand_acc_y,n_right_hand_acc_z,n_right_hand_gyro_x,n_right_hand_gyro_y,n_right_hand_gyro_z,q_chest_w,q_chest_x,q_chest_y,q_chest_z,q_left_hand_w,q_left_hand_x,q_left_hand_y,q_left_hand_z,q_right_knee_w,q_right_knee_x,q_right_knee_y,q_right_knee_z
1900-01-01 13:48:46.057435,-0.841064453125,0.3094482421875,0.373291015625,,,,,,,,,,-0.08154296875,0.5439453125,0.8284912109375,-58.30792999267578,30.60975646972656,-66.55487823486328,0.8693931102752686,-0.3248423337936401,-0.3457615077495575,0.138138011097908,,,,,0.8432819843292236,-0.0940662026405334,0.4304811656475067,0.3077547550201416
1900-01-01 13:48:46.064258,-0.8482666015625,0.3028564453125,0.3798828125,-13.963415145874023,-33.475608825683594,-91.49390411376952,,,,,,,-0.118896484375,0.52099609375,0.8436279296875,-57.91158676147461,28.21646499633789,-64.11585235595703,0.8693931102752686,-0.3248423337936401,-0.3457615077495575,0.138138011097908,0.8955197334289551,0.0292547941207885,0.3145173788070678,0.3134762048721313,0.8432819843292236,-0.0940662026405334,0.4304811656475067,0.3077547550201416
1900-01-01 13:48:46.083373,-0.865966796875,0.2989501953125,0.390625,-14.87804889678955,-34.00914764404297,-87.91159057617188,,,,-43.033538818359375,17.82012176513672,188.75,-0.1761474609375,0.47802734375,0.8653564453125,-60.38109970092773,26.47865867614746,-56.98170852661133,0.8746242523193359,-0.3101175725460052,-0.350749671459198,0.1258340328931808,0.8878837823867798,0.0336904302239418,0.3193419873714447,0.3294660747051239,0.8273758888244629,-0.0792250633239746,0.4439886808395386,0.3347333669662475
1900-01-01 13:48:46.094254,-0.889404296875,0.2879638671875,0.40283203125,-15.97560977935791,-34.07012176513672,-85.32012176513672,-0.57177734375,-0.7215576171875,-0.0384521484375,-46.34146499633789,10.731707572937012,199.57318115234372,-0.197021484375,0.46728515625,0.888916015625,-60.38109970092773,26.47865867614746,-56.98170852661133,0.8746242523193359,-0.3101175725460052,-0.350749671459198,0.1258340328931808,0.8878837823867798,0.0336904302239418,0.3193419873714447,0.3294660747051239,0.8181094527244568,-0.070722721517086,0.4504916369915008,0.3503604531288147
1900-01-01 13:48:46.100352,-0.8994140625,0.2640380859375,0.409912109375,-17.21036720275879,-34.14634323120117,-83.3993911743164,-0.619384765625,-0.759033203125,-0.052001953125,-70.5030517578125,-2.9115853309631348,210.5487823486328,-0.2093505859375,0.4661865234375,0.902587890625,-64.81707763671875,26.539634704589844,-45.625,0.8764804601669312,-0.304509550333023,-0.3522495925426483,0.1223765462636947,0.8878837823867798,0.0336904302239418,0.3193419873714447,0.3294660747051239,0.8081502318382263,-0.0605168864130973,0.457354724407196,0.3661388754844665
1900-01-01 13:48:46.110622,-0.9005126953125,0.2392578125,0.4112548828125,-20.2439022064209,-34.664634704589844,-81.02134704589844,-0.619384765625,-0.759033203125,-0.052001953125,-70.5030517578125,-2.9115853309631348,210.5487823486328,-0.221435546875,0.4678955078125,0.9034423828125,-65.7317123413086,26.219512939453125,-42.17987823486328,0.8783203959465027,-0.2987816035747528,-0.3536445200443268,0.1192407682538032,0.8615881204605103,0.0460881516337394,0.3303148746490478,0.3826667666435241,0.7974287867546082,-0.049713235348463,0.4640538990497589,0.3824786245822906
1900-01-01 13:48:46.118768,-0.8956298828125,0.2183837890625,0.407470703125,-22.83536720275879,-35.47256088256836,-77.92683410644531,-0.6339111328125,-0.75341796875,-0.087158203125,-74.00914764404297,-8.216464042663574,220.12196350097656,-0.221435546875,0.4678955078125,0.9034423828125,-65.7317123413086,26.219512939453125,-42.17987823486328,0.8801277279853821,-0.2930575907230377,-0.3548974096775055,0.1163622811436653,0.8410766124725342,0.0564252026379108,0.3360418379306793,0.4200978875160217,0.7866647243499756,-0.038353256881237,0.4701203405857086,0.3983395993709564
1900-01-01 13:48:46.135792,-0.8907470703125,0.2030029296875,0.400146484375,-24.115854263305664,-36.463417053222656,-74.80183410644531,-0.65576171875,-0.578125,-0.1552734375,-78.36890411376953,-37.103660583496094,233.27745056152344,-0.2293701171875,0.466552734375,0.8966064453125,-65.3506088256836,25.426830291748047,-40.10670852661133,0.8836978673934937,-0.2816874086856842,-0.3568862974643707,0.1111862808465957,0.8307170867919922,0.0625734105706214,0.33787801861763,0.4379864633083343,0.7652167081832886,-0.0128821730613708,0.4798592031002044,0.4289668798446655
1900-01-01 13:48:46.135938,-0.8916015625,0.189697265625,0.388671875,-24.49695205688477,-37.83536529541016,-71.73780822753906,-0.65576171875,-0.578125,-0.1552734375,-78.36890411376953,-37.103660583496094,233.27745056152344,-0.2293701171875,0.466552734375,0.8966064453125,-65.3506088256836,25.426830291748047,-40.10670852661133,0.8836978673934937,-0.2816874086856842,-0.3568862974643707,0.1111862808465957,0.8307170867919922,0.0625734105706214,0.33787801861763,0.4379864633083343,0.7652167081832886,-0.0128821730613708,0.4798592031002044,0.4289668798446655
1900-01-01 13:48:46.152386,-0.8931884765625,0.1746826171875,0.3773193359375,-23.82621955871582,-39.29878234863281,-68.64329528808594,-0.65576171875,-0.578125,-0.1552734375,-78.36890411376953,-37.103660583496094,233.27745056152344,-0.2275390625,0.458984375,0.8726806640625,-65.28963470458984,21.89024353027344,-37.103660583496094,0.8854966163635254,-0.2761622369289398,-0.3574791848659515,0.1088060140609741,0.8202050924301147,0.0694484487175941,0.3385801315307617,0.4558551609516144,0.7543953061103821,0.0004360991879366,0.4825285375118255,0.4450322985649109
1900-01-01 13:48:46.162434,-0.8955078125,0.1639404296875,0.366455078125,-23.170732498168945,-41.875,-65.07621765136719,-0.65576171875,-0.578125,-0.1552734375,-78.36890411376953,-37.103660583496094,233.27745056152344,-0.232177734375,0.452392578125,0.8590087890625,-66.4024429321289,19.039634704589844,-35.914634704589844,0.8854966163635254,-0.2761622369289398,-0.3574791848659515,0.1088060140609741,0.8202050924301147,0.0694484487175941,0.3385801315307617,0.4558551609516144,0.7436474561691284,0.0153208673000335,0.483776718378067,0.4612091481685638
1900-01-01 13:48:46.170297,-0.9029541015625,0.15185546875,0.355712890625,-22.530488967895508,-45.7621955871582,-61.69207382202149,-0.65576171875,-0.578125,-0.1552734375,-78.36890411376953,-37.103660583496094,233.27745056152344,-0.2403564453125,0.44091796875,0.8388671875,-68.93292999267578,9.557927131652832,-33.506099700927734,0.891326904296875,-0.2602287828922272,-0.3567934036254883,0.1025467216968536,0.7993327379226685,0.0849498435854911,0.3351006209850311,0.4914857149124145,0.7328121066093445,0.0319673232734203,0.4834314286708832,0.4777641892433166
1900-01-01 13:48:46.179347,-0.9095458984375,0.14404296875,0.3502197265625,-21.981708526611328,-50.47256088256836,-58.04878234863281,-0.697021484375,-0.5157470703125,-0.1986083984375,-59.588417053222656,-68.36890411376953,242.3475646972656,-0.2445068359375,0.4368896484375,0.8350830078125,-70.71646881103516,3.810975790023804,-32.2408561706543,0.891326904296875,-0.2602287828922272,-0.3567934036254883,0.1025467216968536,0.7886878848075867,0.0942194536328315,0.3303112387657165,0.5098907351493835,0.7219573855400085,0.049278374761343,0.4804278910160064,0.4955181181430816
